"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","units",,,17.2,,
"AUS","Australia","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2001","2001","PC","Percentage","0","units",,,14.3,,
"AUS","Australia","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","units",,,15,,
"AUS","Australia","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2003","2003","PC","Percentage","0","units",,,13,,
"AUS","Australia","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,14.4,,
"AUS","Australia","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","units",,,15.8,,
"AUS","Australia","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,16.7,,
"AUS","Australia","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","units",,,15.4,,
"AUS","Australia","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,11.9,,
"AUS","Australia","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2009","2009","PC","Percentage","0","units",,,16.4,,
"AUS","Australia","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2010","2010","PC","Percentage","0","units",,,14,,
"AUS","Australia","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","units",,,16,,
"AUS","Australia","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2012","2012","PC","Percentage","0","units",,,13.8,,
"AUT","Austria","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","units",,,23.1,,
"AUT","Austria","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2001","2001","PC","Percentage","0","units",,,22.8,,
"AUT","Austria","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","units",,,24.5,,
"AUT","Austria","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2003","2003","PC","Percentage","0","units",,,21.1,,
"AUT","Austria","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,22.4,,
"AUT","Austria","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","units",,,22,,
"AUT","Austria","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,21.9,,
"AUT","Austria","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","units",,,21.6,,
"AUT","Austria","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,20.9,,
"AUT","Austria","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2009","2009","PC","Percentage","0","units",,,19.4,,
"AUT","Austria","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2010","2010","PC","Percentage","0","units",,,19.2,,
"AUT","Austria","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","units",,,18.6,,
"BEL","Belgium","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","units",,,13.6,,
"BEL","Belgium","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2001","2001","PC","Percentage","0","units",,,13.2,,
"BEL","Belgium","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","units",,,11.6,,
"BEL","Belgium","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2003","2003","PC","Percentage","0","units",,,15.2,,
"BEL","Belgium","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,11.8,,
"BEL","Belgium","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","units",,,11.5,,
"BEL","Belgium","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,10.3,,
"BEL","Belgium","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","units",,,9.9,,
"BEL","Belgium","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,8.9,,
"BEL","Belgium","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2009","2009","PC","Percentage","0","units",,,7.5,,
"BEL","Belgium","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2010","2010","PC","Percentage","0","units",,,7,,
"BEL","Belgium","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","units",,,5.8,,
"CAN","Canada","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","units",,,23.9,,
"CAN","Canada","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2001","2001","PC","Percentage","0","units",,,24.3,,
"CAN","Canada","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","units",,,24,,
"CAN","Canada","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2003","2003","PC","Percentage","0","units",,,22.5,,
"CAN","Canada","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,22.7,,
"CAN","Canada","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","units",,,21.3,,
"CAN","Canada","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,21.1,,
"CAN","Canada","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","units",,,20.8,,
"CAN","Canada","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,20.5,,
"CAN","Canada","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2009","2009","PC","Percentage","0","units",,,20.1,,
"CAN","Canada","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2010","2010","PC","Percentage","0","units",,,19,,
"CAN","Canada","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","units",,,19.2,,
"CAN","Canada","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2012","2012","PC","Percentage","0","units",,,19.5,,
"CZE","Czech Republic","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","units",,,19.1,,
"CZE","Czech Republic","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2001","2001","PC","Percentage","0","units",,,17,,
"CZE","Czech Republic","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","units",,,16.1,,
"CZE","Czech Republic","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2003","2003","PC","Percentage","0","units",,,15.8,,
"CZE","Czech Republic","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,16.3,,
"CZE","Czech Republic","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","units",,,16.1,,
"CZE","Czech Republic","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,15.5,,
"CZE","Czech Republic","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","units",,,17.1,,
"CZE","Czech Republic","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,18,,
"CZE","Czech Republic","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2009","2009","PC","Percentage","0","units",,,15.2,,
"CZE","Czech Republic","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","units",,,16.5,,
"CZE","Czech Republic","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2012","2012","PC","Percentage","0","units",,,15.4,,
"DNK","Denmark","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,10.2,,
"DNK","Denmark","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2009","2009","PC","Percentage","0","units",,,10.2,,
"DNK","Denmark","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2010","2010","PC","Percentage","0","units",,,8.9,,
"DNK","Denmark","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2011","2011","PC","Percentage","0","units",,,7.9,,
"FIN","Finland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2000","2000","PC","Percentage","0","units",,,20.4,,
"FIN","Finland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2001","2001","PC","Percentage","0","units",,,21.2,,
"FIN","Finland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2002","2002","PC","Percentage","0","units",,,20.4,,
"FIN","Finland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2003","2003","PC","Percentage","0","units",,,20.1,,
"FIN","Finland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2004","2004","PC","Percentage","0","units",,,20,,
"FIN","Finland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2005","2005","PC","Percentage","0","units",,,18.9,,
"FIN","Finland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2006","2006","PC","Percentage","0","units",,,19.4,,
"FIN","Finland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2007","2007","PC","Percentage","0","units",,,21.4,,
"FIN","Finland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2008","2008","PC","Percentage","0","units",,,21.2,,
"FIN","Finland","EMP9","Gender wage gap","ALL_PERSONS","All persons","TOTAL","Total","2009","2009","PC","Percentage","0","units",,,19.7,,
